Date,Open,High,Low,Close,Volume
2022-04-04,48.169998,49.23,47.919998,49.200001,23784900
2022-04-01,49.830002,49.900002,47.330002,48.110001,46586100
2022-03-31,51.200001,51.259998,49.509998,49.560001,43698300
2022-03-30,52.25,52.509998,51.220001,51.43,24623300
2022-03-29,52.0,52.290001,51.279999,52.25,27303700
2022-03-28,51.360001,51.57,50.560001,51.509998,22932400
2022-03-25,50.689999,51.98,50.450001,51.830002,33239800
2022-03-24,48.66,51.650002,48.59,51.619999,51677900
2022-03-23,48.459999,49.580002,48.060001,48.27,37126400
2022-03-22,47.5,48.470001,47.400002,48.389999,27923300
2022-03-21,47.459999,47.889999,47.07,47.389999,32910900
2022-03-18,46.82,47.599998,46.349998,47.450001,46166300
2022-03-17,46.32,47.290001,45.73,47.139999,28555000
2022-03-16,45.299999,46.630001,45.27,46.630001,38885500
2022-03-15,44.5,44.900002,44.07,44.810001,34448900
2022-03-14,45.900002,45.98,44.299999,44.400002,35993900
2022-03-11,47.150002,47.279999,45.77,45.830002,27071400
2022-03-10,47.290001,47.310001,46.16,46.66,36456000
2022-03-09,48.41,48.459999,46.889999,47.630001,36076500
2022-03-08,47.689999,48.720001,46.889999,47.5,44813900
2022-03-07,48.009998,48.540001,47.599998,47.68,43813700
2022-03-04,47.369999,48.27,47.369999,48.07,38310700
2022-03-03,48.18,48.549999,47.619999,47.93,36389900
2022-03-02,47.52,48.990002,47.48,48.869999,46936500
2022-03-01,47.540001,47.900002,46.220001,46.82,53853000
2022-02-28,47.0,47.82,46.849998,47.700001,41920000
2022-02-25,46.93,47.790001,46.25,47.709999,39266300
2022-02-24,43.900002,46.790001,43.630001,46.720001,72740100
2022-02-23,45.169998,45.709999,44.549999,44.650002,38176700
2022-02-22,44.689999,45.41,43.849998,44.689999,57093300
2022-02-18,46.189999,46.209999,44.509998,45.040001,76520100
2022-02-17,47.860001,48.259998,47.380001,47.57,32030600
2022-02-16,48.060001,48.490002,47.599998,48.23,26022900
2022-02-15,47.700001,48.459999,47.189999,48.439999,35837900
2022-02-14,47.919998,48.18,47.110001,47.580002,28456900
2022-02-11,48.950001,49.110001,47.5,47.630001,37208200
2022-02-10,49.18,49.93,48.759998,48.860001,32762700
2022-02-09,49.330002,49.970001,48.830002,49.91,35217300
2022-02-08,47.98,48.939999,47.900002,48.810001,28051200
2022-02-07,48.130001,48.66,47.959999,48.18,27558500
2022-02-04,47.860001,48.240002,47.130001,48.009998,32431500
2022-02-03,49.25,49.689999,48.25,48.279999,42145800
2022-02-02,48.25,49.580002,48.09,49.509998,37962700
2022-02-01,48.779999,49.029999,48.360001,48.950001,35386100
2022-01-31,47.68,48.869999,47.310001,48.82,51828400
2022-01-28,47.709999,48.200001,46.299999,47.73,61945400
2022-01-27,49.98,50.060001,47.779999,48.049999,89642800
2022-01-26,51.130001,52.720001,50.75,51.689999,54895400
2022-01-25,51.009998,51.619999,50.25,51.0,44095400
2022-01-24,51.48,52.130001,49.880001,51.939999,64198400
2022-01-21,52.080002,53.130001,51.950001,52.040001,46372400
2022-01-20,53.860001,54.09,51.939999,52.040001,28582600
2022-01-19,54.630001,54.849998,53.560001,53.619999,30595100
2022-01-18,55.310001,55.650002,54.68,54.759998,35313800
