Date,Open,High,Low,Close,Volume
2017-04-05,32.571156,32.751423,32.400379,32.438332,20321225
2017-04-06,32.390892,32.590134,32.314991,32.362431,17164706
2017-04-07,32.343452,32.495255,32.296017,32.35294,14728069
2017-04-10,32.381405,32.466793,32.229603,32.296017,16852722
2017-04-11,32.277039,32.333965,32.011387,32.19165,20155642
2017-04-12,32.144215,32.248577,31.982922,32.182163,26022628
2017-04-13,32.144215,32.277039,32.087288,32.144215,13560553
2017-04-17,32.163189,32.305504,32.087288,32.258064,15963462
2017-04-18,32.030361,32.144215,31.935484,32.106262,22293365
2017-04-19,32.115749,32.172676,31.83112,31.888046,25204302
2017-04-20,31.907021,32.134724,31.764706,32.011387,19339319
2017-04-21,31.91651,32.0019,31.755219,31.91651,25552227
2017-04-24,32.23909,32.28653,31.925997,32.011387,22438501
2017-04-25,32.087288,32.220116,31.982922,32.030361,19756176
2017-04-26,32.125237,32.28653,32.115749,32.115749,20884483
2017-04-27,32.220116,32.277039,32.039848,32.125237,15633139
2017-04-28,32.144215,32.201138,32.020874,32.182163,16842077
2017-05-01,32.153702,32.248577,32.039848,32.049335,23910833
2017-05-02,31.859583,31.992411,31.195446,31.888046,42965678
2017-05-03,31.764706,31.86907,31.593927,31.755219,26155748
2017-05-04,31.726755,31.86907,31.612904,31.736242,26897869
2017-05-05,31.726755,31.764706,31.527514,31.764706,22999966
2017-05-08,31.688805,31.897533,31.641365,31.736242,24781543
2017-05-09,31.736242,31.86907,31.641365,31.669828,18028248
2017-05-10,31.309298,31.423149,31.21442,31.337761,34829852
2017-05-11,31.29981,31.442125,31.166983,31.347248,26421567
2017-05-12,31.204933,31.375711,31.204933,31.318787,18589187
2017-05-15,31.280834,31.480076,31.119545,31.423149,20530444
2017-05-16,30.891842,31.119545,30.730551,30.92979,42437834
2017-05-17,30.92979,30.92979,30.559772,30.578749,29931281
2017-05-18,30.550285,30.759012,30.426945,30.56926,24874822
2017-05-19,30.645161,30.796965,30.540796,30.796965,29885432
2017-05-22,30.834915,30.834915,30.474382,30.474382,26725962
2017-05-23,30.474382,30.626186,30.436434,30.493359,18517410
2017-05-24,30.521822,30.626186,30.332067,30.40797,23576821
2017-05-25,30.417458,30.550285,30.332067,30.512335,18227244
2017-05-26,30.531309,30.635674,30.455408,30.493359,12330746
2017-05-30,30.417458,30.65465,30.379507,30.483871,16913643
2017-05-31,30.626186,31.110058,30.483871,30.97723,30585499
2017-06-01,30.996204,31.166983,30.853889,31.034157,25184803
2017-06-02,31.091082,31.195446,30.777988,30.872866,21984543
2017-06-05,30.844402,30.910816,30.550285,30.6926,14994836
2017-06-06,30.645161,30.711575,30.398481,30.426945,18831186
2017-06-07,30.436434,30.512335,30.265656,30.360531,17479641
2017-06-08,30.360531,30.455408,30.047438,30.123341,35620773
2017-06-09,30.180265,31.119545,30.113852,31.091082,31764609
2017-06-12,31.091082,31.394688,31.024668,31.024668,30435515
2017-06-13,31.034157,31.100569,30.853889,30.910816,18093913
2017-06-14,30.920303,31.081594,30.796965,31.015181,14568177
2017-06-15,30.948767,31.337761,30.891842,31.129032,19952115
2017-06-16,31.290323,31.432638,31.129032,31.280834,33600044
2017-06-19,31.252373,31.54649,31.223909,31.518026,21922146
2017-06-20,31.508539,32.020874,31.451612,31.840607,27473775
2017-06-21,31.859583,32.35294,31.859583,32.144215,27134492
2017-06-22,32.210625,32.71347,32.182163,32.314991,23352529
2017-06-23,32.333965,32.466793,32.229603,32.419353,31668800
2017-06-26,32.409866,32.457306,32.229603,32.296017,14937604
2017-06-27,32.381405,32.381405,32.020874,32.039848,16089942
2017-06-28,32.125237,32.248577,31.925997,32.020874,15594035
2017-06-29,32.020874,32.134724,31.660341,31.907021,15724837
2017-06-30,32.0019,32.06831,31.793169,31.86907,14242175
2017-07-03,31.764706,32.229603,31.755219,32.087288,8971964
2017-07-05,32.201138,32.210625,31.774195,31.91651,17072270
2017-07-06,31.91651,31.944971,31.442125,31.518026,14676318
2017-07-07,31.54649,31.650854,31.328274,31.641365,17914522
2017-07-10,31.650854,31.812143,31.537003,31.698292,14256720
2017-07-11,31.688805,31.755219,31.356735,31.470589,12874083
2017-07-12,31.63188,31.812143,31.49905,31.518026,14577979
2017-07-13,31.518026,31.63188,31.29981,31.574953,14112006
2017-07-14,31.565466,31.83112,31.537003,31.717268,13175843
2017-07-17,31.726755,31.755219,31.442125,31.54649,17733866
2017-07-18,31.527514,31.679317,31.347248,31.650854,15356148
2017-07-19,31.660341,31.963947,31.603416,31.897533,19825951
2017-07-20,31.755219,31.973434,31.63188,31.821632,17870043
2017-07-21,31.755219,31.859583,31.679317,31.764706,12673718
2017-07-24,31.669828,31.736242,31.470589,31.612904,15558937
2017-07-25,31.669828,31.764706,31.318787,31.404175,20856025
2017-07-26,31.394688,31.404175,31.148008,31.204933,16572674
2017-07-27,31.110058,31.309298,31.015181,31.309298,17561221
2017-07-28,31.366224,31.470589,31.129032,31.451612,17116117
2017-07-31,31.508539,31.679317,31.442125,31.461102,23169660
2017-08-01,31.347248,31.593927,31.043644,31.385199,28072552
2017-08-02,31.185959,31.233397,31.024668,31.233397,30412116
2017-08-03,31.26186,32.077801,31.176472,31.717268,28739945
2017-08-04,31.859583,32.258064,31.764706,31.91651,27183398
2017-08-07,31.83112,31.86907,31.54649,31.603416,13188280
